"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月08日01時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時00分","0","0","0","0","0","0","0","0","0","0","0"
